unique_id,F1A10_1,F2A6,F2A7,F2A9,F3A3_1,F3A6_1,F3A7_1,F3A8_1
IDUS111996,7,3,2,3,7,1,2,3
IDUS112093,7,4,3,5,6,1,1,1
IDUS112849,7,2,4,4,6,1,2,1
IDUS113299,5,3,3,2,5,5,6,3
IDUS113762,7,2,2,5,6,7,2,2
IDUS113895,5,3,3,3,3,3,3,3
IDUS114452,5,1,3,4,6,6,6,6
IDUS114516,6,2,2,5,3,5,4,6
IDUS103554,7,3,3,4,7,1,1,1
IDUS104424,7,4,4,4,5,1,1,1
IDUS104462,1,5,5,5,1,5,1,5
IDUS104578,6,5,3,5,7,2,2,1
IDUS106240,6,1,1,1,3,5,7,7
IDUS106278,3,3,3,5,1,7,4,7
IDUS108306,4,3,3,2,5,5,3,5
IDUS108712,4,1,1,1,4,1,4,3
IDUS109286,6,3,4,2,6,6,3,6
IDUS109452,6,3,3,2,5,1,4,4
IDUS109531,5,2,2,3,5,6,7,7
IDUS109590,7,4,3,4,7,1,2,2
IDUS110347,6,3,5,3,5,1,4,2
IDUS110348,6,3,2,3,3,2,2,2
IDUS111066,6,3,3,4,6,4,4,4
IDUS111169,6,3,3,3,6,2,3,3
IDUS111996,7,4,4,4,7,1,2,2
IDUS112590,7,5,3,5,2,1,3,3
IDUS112910,3,1,3,2,3,3,1,1
IDUS113299,5,3,3,3,5,6,6,3
IDUS113795,3,3,3,4,5,2,3,4
IDUS114452,6,1,3,4,6,7,6,6
IDUS114516,6,1,2,5,3,6,6,6
IDUS115505,5,5,3,4,5,6,7,7
IDUS115524,3,3,4,4,2,7,7,7
IDUS115659,7,4,3,3,7,3,4,2
IDUS116154,7,3,2,4,3,5,2,3
IDUS116369,5,2,2,3,5,4,4,4
IDUS118348,7,4,4,5,7,1,2,1
IDUS118500,6,5,2,3,7,1,1,1
IDUS119358,7,2,4,3,7,1,1,1
IDUS121233,5,4,3,4,2,4,3,3
IDUS121718,5,2,3,3,6,3,3,3
IDUS121853,7,3,5,4,7,1,1,2
IDUS121893,7,5,2,4,7,1,1,1
IDUS121978,4,2,2,3,6,6,5,4
IDUS122148,6,2,3,3,6,4,3,4
IDUS122178,6,4,4,3,6,4,3,3
IDUS122448,5,2,3,4,5,3,2,3
IDUS116369,5,2,2,3,4,4,4,4
IDUS108306,5,3,3,2,4,5,5,5
IDUS109452,6,3,3,2,5,1,4,4
IDUS121718,6,2,3,3,6,3,3,3
IDUS113299,5,3,3,3,5,6,6,3
IDUS115524,4,2,5,3,2,7,7,7
IDUS104578,7,5,3,5,6,2,2,1
IDUS116154,7,3,3,5,6,3,3,3
IDUS103554,7,4,3,5,7,1,1,1
IDUS109531,5,2,2,3,5,6,6,6
IDUS109590,7,3,3,5,7,1,2,2
IDUS118500,7,5,3,3,7,1,1,1
IDUS104424,7,3,4,4,5,1,1,1
IDUS106240,7,1,1,1,3,5,7,7
IDUS115659,7,4,3,3,7,3,4,2
IDUS121978,4,2,2,3,6,7,4,4
IDUS110347,6,3,4,3,6,1,4,2
IDUS121233,5,3,2,4,6,6,2,2
